관리번호,공원명,공원구분,소재지도로명주소,소재지지번주소,위도,경도,공원면적,공원보유시설(운동시설),공원보유시설(유희시설),공원보유시설(편익시설),공원보유시설(교양시설),공원보유시설(기타시설),지정고시일,관리기관명,전화번호,데이터기준일자
11350-00001,수락산<시공원>,기타,,서울특별시 노원구 상계동 산3-1,37.691731,127.0660338,6691885.3,,,통제소 1+화장실 25,,,,,,2026-04-13
11350-00002,불암산<시공원>,기타,서울특별시 노원구 한글비석로12길 51-49,서울특별시 노원구 중계동 산101-1,37.65484418,127.0811812,5332422,,,통제소 1+화장실 27,,,,,,2026-04-13
11350-00026,영축산<시공원>,근린공원,서울특별시 노원구 광운로 141(월계동),서울특별시 노원구 월계동 산108,37.62834719,127.057541,260500,,,유아숲체험장+광장 등,,,,,,2026-04-13
11350-00018,초안산<시공원>,근린공원,서울특별시 노원구 마들로5길 91,서울특별시 노원구 월계동 산1,37.64354845,127.0514587,950643,,,체육시설+캠핑장 등,,,,,,2026-04-13
