housing_id,housing_name,park_id,park_name,park_type,straight_m,walk_m,walk_sec,status
543,동소문한진,1170,성북,근린공원,483,1265,1038,ok
560,래미안석관,1166,화랑,어린이공원,223,273,227,ok
582,정릉하늘마루,1196,배밭골,어린이공원,182,292,253,ok
580,장위퍼스트하이,1165,맑은숲,어린이공원,486,711,568,ok
575,꿈의숲코오롱하늘채,1205,상길례,문화공원,122,133,111,ok
568,동일하이빌뉴시티(신월곡),1177,잔월,소공원,120,190,143,ok
548,상월곡동아(상월곡),1200,향기,어린이공원,86,220,194,ok
590,롯데캐슬 트윈골드(길음역세권),1158,새소리,어린이공원,393,649,544,ok
589,초행지붕-정릉,1176,길섶,소공원,343,425,364,ok
593,성북 펠릭스,1201,맑은소리,소공원,375,473,396,ok
592,종암 라온 프라이빗,1168,고암,어린이공원,114,210,177,ok
579,래미안장위포레카운티(장위1구역),1205,상길례,문화공원,639,861,678,ok
586,롯데캐슬클라시아(길음1),1183,길빛,근린공원,61,338,256,ok
571,정릉한화꿈에그린(정릉10),1182,꿈빛,소공원,64,58,70,ok
559,정릉라온유(길음10),1163,솔숲,어린이공원,310,401,316,ok
588,장위 지웰에스테이트(장위1-2),1156,샛별,어린이공원,831,1113,887,ok
576,연극인맞춤형주택(성북동 186-12),1241,명륜공원,어린이공원,519,997,788,ok
587,보문리슈빌하우트(보문2),1194,범바위,어린이공원,233,350,314,ok
578,래미안아트리치(석관2구역),1203,돌이음,소공원,264,365,297,ok
577,래미안 길음 센터피스(길음2구역),1454,미아5구역,소공원,185,232,187,ok
561,래미안종암2차(종암4),1168,고암,어린이공원,274,573,442,ok
574,연극인맞춤형주택(삼선동2가77),1180,돌마루,소공원,236,539,437,ok
557,월곡2sh-ville(월곡2),893,청량,근린공원,322,1815,1387,ok
566,종암2차SK뷰(종암6),1169,옛시장,어린이공원,119,141,121,ok
581,롯데캐슬골든힐스(길음3),1202,별빛누리,소공원,265,349,249,ok
552,길음뉴타운3단지,1176,길섶,소공원,219,234,196,ok
547,길음동부(길음3),1183,길빛,근린공원,144,140,116,ok
546,돈암삼성(돈암3-2),1167,매화,어린이공원,245,637,543,ok
545,돈암풍림(돈암3-3),1188,개운산,근린공원,301,865,658,ok
564,래미안종암3차(종암5),1174,일신,어린이공원,80,270,216,ok
567,희망하우징(정릉 380-3),1162,한울,어린이공원,616,834,642,ok
556,월곡3sh-ville(월곡3),1191,아름드리,근린공원,94,688,544,ok
591,장위자이레디언트(장위4구역),1156,샛별,어린이공원,689,1252,962,ok
551,길음뉴타운4단지,1419,폭포,소공원,156,362,286,ok
550,정릉풍림(정릉4),1184,정릉동,근린공원,337,660,494,ok
570,금호어울림센터힐(돈암5),1167,매화,어린이공원,135,680,536,ok
583,꿈의 숲 아이파크(장위7구역),1165,맑은숲,어린이공원,344,447,373,ok
585,보문동 7가 139-1 행복주택(다세대),1195,꿈나라,어린이공원,238,326,329,ok
584,동소문동7가 2-26 행복주택(빈집정비),1181,되너미,소공원,422,461,372,ok
563,길음뉴타운7단지(길음7),1175,길음골,소공원,16,63,52,ok
562,길음뉴타운8단지(길음8),1160,솔향기,어린이공원,343,409,325,ok
565,길음뉴타운9단지(정릉길음9),1167,매화,어린이공원,287,497,454,ok
569,e편한세상(보문4),1164,동망봉,어린이공원,40,127,106,ok
554,종암SH-Ville,1168,고암,어린이공원,414,662,535,ok
553,장월SH-VILLE,1165,맑은숲,어린이공원,189,273,255,ok
558,삼선sh-ville(삼선1),1164,동망봉,어린이공원,308,765,584,ok
555,길음SH-Ville(길음5),1161,해맑은,어린이공원,86,279,238,ok
544,종암SK,1159,종암,어린이공원,102,224,178,ok
594,마천대성,1713,거여6(거마재정비),소공원,172,212,217,ok
616,거여리본타운,1675,영풍,어린이공원,63,60,47,ok
611,문정공공원룸텔,1622,개나리,어린이공원,133,160,120,ok
610,송파래미안파인탑,1624,거북이,어린이공원,142,248,206,ok
618,잠실올림픽공원아이파크,1614,태양,근린공원,90,246,204,ok
628,문정역 마에스트로,1642,반딧불,어린이공원,192,313,236,ok
614,송파레미니스(1단지),1695,오금지구 수변공원,수변공원,197,300,257,ok
613,위례지구10블럭(위례포레샤인),1716,송례(위례 근린공원8호),근린공원,476,903,743,ok
599,장지10(송파파인타운10단지),1666,솔바람,어린이공원,175,348,291,ok
608,마천1(송파파크데일1단지),1634,도담,어린이공원,162,356,286,ok
607,장지1(송파파인타운1단지),1705,문정동136 어린이공원,어린이공원,127,201,152,ok
598,장지11(송파파인타운11단지),1647,버들,어린이공원,173,300,246,ok
622,위례포레샤인13단지(위례3블럭),1612,장지,근린공원,342,1021,871,ok
620,위례포레샤인18단지(위례13블럭),1645,배미골,어린이공원,451,671,600,ok
627,잠실센트럴파크(송파구 잠실동 187-10),1659,새마을,어린이공원,372,519,399,ok
596,오금현대백조(오금2),1621,가야금,어린이공원,84,208,163,ok
626,잠실엘타워(잠실동208-4외2필지),1659,새마을,어린이공원,202,250,191,ok
623,송파시그니처롯데캐슬(거여2-1),1665,섬굴,어린이공원,176,739,618,ok
615,송파레미니스 2단지(오금지구 2단지),1695,오금지구 수변공원,수변공원,172,328,253,ok
609,마천2(송파파크데일2단지),1686,초록,어린이공원,133,171,186,ok
605,장지2(송파파인타운2단지),1606,연화,근린공원,230,321,276,ok
619,거여2-2구역(e편한세상 송파 파크센트럴),1703,향유(거마재정비),근린공원,283,414,345,ok
621,풍납동269-28 행복주택(서울리츠2호),1670,아랫바람,어린이공원,218,353,294,ok
612,송파파크데일3단지(행복주택),1685,천상,어린이공원,119,236,181,ok
597,거여3,1645,배미골,어린이공원,55,175,153,ok
625,송파파크데일4단지(임대),1686,초록,어린이공원,77,213,183,ok
602,장지4(송파파인타운4단지),1611,장수,근린공원,130,207,181,ok
624,송파파크데일5단지(임대),1686,초록,어린이공원,72,148,137,ok
603,장지5(송파파인타운5단지),1666,솔바람,어린이공원,91,75,86,ok
595,거여6,1691,향나무,어린이공원,221,275,255,ok
604,장지6(송파파인타운6단지),1611,장수,근린공원,88,187,156,ok
600,장지7(송파파인타운7단지),1666,솔바람,어린이공원,63,60,74,ok
606,장지8(송파파인타운8단지),1666,솔바람,어린이공원,148,267,193,ok
601,장지9(송파파인타운9단지),1666,솔바람,어린이공원,92,163,127,ok
629,힐스테이트 e편한세상 문정,1714,문정동136 소공원,소공원,244,457,349,ok
631,신정양천,518,세양,어린이공원,336,482,429,ok
640,양천롯데캐슬,458,남도,어린이공원,125,148,115,ok
639,수명산롯데캐슬,1392,푸른수명산,소공원,171,877,704,ok
660,신목동비바힐스,467,강신,어린이공원,141,203,177,ok
637,신월동도센트리움,451,신곡,어린이공원,274,398,308,ok
649,목동센트럴푸르지오,485,신세계,어린이공원,267,353,303,ok
638,장수마을동원데자뷰,459,문화,어린이공원,260,331,283,ok
648,신정공공주택(신정도시마을주택),489,계남,근린공원,279,387,323,ok
658,신목동 파라곤,453,신장,어린이공원,212,338,251,ok
654,신정 파크샤인,519,신정7동소공원,소공원,145,189,180,ok
645,신정이펜하우스1단지,494,연의,근린공원,406,617,538,ok
636,신정푸른마을1,491,신이,어린이공원,102,130,101,ok
653,신정1-1(목동센트럴아이파크위브),467,강신,어린이공원,238,605,501,ok
646,신정뉴타운두산위브(신정1-2),454,신월2동소공원,소공원,279,492,399,ok
647,신정뉴타운롯데캐슬(신정1-4),454,신월2동소공원,소공원,227,355,298,ok
635,신정학마을2,487,학마을,어린이공원,103,166,154,ok
634,신트리2,488,신기,어린이공원,154,231,211,ok
655,래미안 목동아델리체(신정2-1),483,단지,어린이공원,259,422,379,ok
657,호반서밋목동(신정2-2),478,양명,어린이공원,278,498,428,ok
641,신정이펜하우스2단지(신정3지구2단지),495,숲속,어린이공원,69,64,45,ok
633,목동2차우성(신정5),518,세양,어린이공원,69,522,404,ok
643,신정이펜하우스3단지,494,연의,근린공원,122,253,199,ok
652,신정3A6 이든채단지,493,하늘마루,어린이공원,186,279,270,ok
650,목동힐스테이트(신정제4구역),506,은행정,어린이공원,161,309,259,ok
644,신정이펜하우스4단지,493,하늘마루,어린이공원,198,469,375,ok
