행정동코드,population
11650600,470455.79
11650610,410771.92
11650620,392999.4
11650621,637447.66
11650651,1370478.32
11650652,956267.54
11650660,490614.98
11680510,744118.18
11680521,1084485.01
11680531,1145337.75
11680545,1031690.52
11680565,1009816.42
11680580,1213779.13
11680590,1008523.93
11680600,733237.55
11680610,1183268.04
11680630,1039495.48
11680640,1678529.97
11680650,1281428.28
11680655,724353.98
11680656,692797.65
11680660,561516.77
11680670,772232.4
11680675,384901.17
11680690,531808.06
11680700,989062.28
11680720,588489.4
11680730,309587.76
11680750,567015.74
11710510,224279.6
11710520,810414.71
11710531,240815.71
11710532,490800.72
11710540,237830.52
11710550,349910.6
11710561,417838.92
11710562,796409.86
11710566,384510.7
11710570,815994.51
11710580,663454.93
11710590,366065.63
11710600,779213.46
11710610,603033.24
11710620,924735.86
11710631,626508.43
11710632,614960.3
11710641,491331.02
11710642,1150346.48
11710646,668592.02
11710647,910565.64
11710650,692582.47
11710670,836679.41
11710680,943945.01
11710690,455396.74
11710710,909085.4
11710720,249356.39
11740515,732010.22
11740525,901628.3
11740526,364763.4
11740530,561565.79
11740540,354018.07
11740550,487969.19
11740560,547320.62
11740570,763555.79
11740580,306190.79
11740590,414327.28
11740600,524064.37
11740610,891324.38
11740620,624920.69
11740640,489645.4
11740650,579003.21
11740660,633646.8
11740685,1364846.33
11740690,634235.5
11740700,559789.1
